Variable,Municipality,Time,Value
crop_yield_total,Ale,2005,6.270670975099791
crop_yield_total,Alingsås,2005,6.270670975099791
crop_yield_total,Bengtsfors,2005,6.270670975099791
crop_yield_total,Bollebygd,2005,6.270670975099791
crop_yield_total,Borås,2005,6.270670975099791
crop_yield_total,Dals-Ed,2005,6.270670975099791
crop_yield_total,Essunga,2005,6.270670975099791
crop_yield_total,Falköping,2005,6.270670975099791
crop_yield_total,Färgelanda,2005,6.270670975099791
crop_yield_total,Grästorp,2005,6.270670975099791
crop_yield_total,Gullspång,2005,6.270670975099791
crop_yield_total,Göteborg,2005,6.270670975099791
crop_yield_total,Götene,2005,6.270670975099791
crop_yield_total,Herrljunga,2005,6.270670975099791
crop_yield_total,Hjo,2005,6.270670975099791
crop_yield_total,Härryda,2005,6.270670975099791
crop_yield_total,Karlsborg,2005,6.270670975099791
crop_yield_total,Kungälv,2005,6.270670975099791
crop_yield_total,Lerum,2005,6.270670975099791
crop_yield_total,Lidköping,2005,6.270670975099791
crop_yield_total,Lilla Edet,2005,6.270670975099791
crop_yield_total,Lysekil,2005,6.270670975099791
crop_yield_total,Mariestad,2005,6.270670975099791
crop_yield_total,Mark,2005,6.270670975099791
crop_yield_total,Mellerud,2005,6.270670975099791
crop_yield_total,Munkedal,2005,6.270670975099791
crop_yield_total,Mölndal,2005,6.270670975099791
crop_yield_total,Orust,2005,6.270670975099791
crop_yield_total,Partille,2005,6.270670975099791
crop_yield_total,Skara,2005,6.270670975099791
crop_yield_total,Skövde,2005,6.270670975099791
crop_yield_total,Sotenäs,2005,6.270670975099791
crop_yield_total,Stenungsund,2005,6.270670975099791
crop_yield_total,Strömstad,2005,6.270670975099791
crop_yield_total,Svenljunga,2005,6.270670975099791
crop_yield_total,Tanum,2005,6.270670975099791
crop_yield_total,Tibro,2005,6.270670975099791
crop_yield_total,Tidaholm,2005,6.270670975099791
crop_yield_total,Tjörn,2005,6.270670975099791
crop_yield_total,Tranemo,2005,6.270670975099791
crop_yield_total,Trollhättan,2005,6.270670975099791
